group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
copulagan + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4747,large
copulagan + tomeklinks,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3668,medium
ctgan + clustercentroid,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4846,large
ctgan + clustercentroid,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4881,large
copulagan + tomeklinks,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4216,medium
copulagan + onesidedselection,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3503,medium
copulagan + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.5076,large
copulagan + random,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4335,medium
copulagan + onesidedselection,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3033,small
fastml + tomeklinks,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.38,medium
copulagan + random,ctgan + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4888,large
random + tomeklinks,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3158,small
copulagan + random,fastml + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.51,large
copulagan + random,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4134,medium
fastml + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3537,medium
copulagan + random,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3056,small
copulagan + random,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.5067,large
copulagan + random,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3319,medium
copulagan + random,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3883,medium
