trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,smote,0.25,instancehardness,0.0625,-1.0,COMPLETE,2025-04-01 01:40:49.251634,2025-04-01 01:40:49.298798,0.047164
2,adasyn,1,onesidedselection,0.5,-1.0,COMPLETE,2025-04-01 01:40:49.313804,2025-04-01 01:40:49.354241,0.040437
3,tvae,2,editednn,0.0625,-1.0,COMPLETE,2025-04-01 01:40:49.365334,2025-04-01 01:41:00.159334,10.794
4,gaussiancopula,2,clustercentroid,0.5,-1.0,COMPLETE,2025-04-01 01:41:00.180644,2025-04-01 01:41:01.005901,0.825257
5,random,0.25,nearmiss,0.25,-1.0,COMPLETE,2025-04-01 01:41:01.017760,2025-04-01 01:41:01.063280,0.04552
6,fastml,2,tomeklinks,auto,-1.0,COMPLETE,2025-04-01 01:41:01.074786,2025-04-01 01:41:01.274261,0.199475
7,smote,0,condensednn,0.0625,-1.0,COMPLETE,2025-04-01 01:41:01.287087,2025-04-01 01:41:01.327876,0.040789
8,ctgan,0,instancehardness,0,-1.0,ERROR,,,0.0
9,adasyn,0.5,nearmiss,0.25,-1.0,COMPLETE,2025-04-01 01:41:28.395140,2025-04-01 01:41:28.435471,0.040331
10,gaussiancopula,2,onesidedselection,0.25,-1.0,COMPLETE,2025-04-01 01:41:28.446827,2025-04-01 01:41:28.554928,0.108101
11,fastml,auto,nearmiss,auto,-1.0,COMPLETE,2025-04-01 01:41:28.566663,2025-04-01 01:41:28.668709,0.102046
12,random,0,random,0.125,-1.0,COMPLETE,2025-04-01 01:41:28.681007,2025-04-01 01:41:28.728160,0.047153
13,tvae,0,clustercentroid,0,-1.0,ERROR,,,0.0
14,tvae,0.5,clustercentroid,0,1.0,COMPLETE,2025-04-01 01:41:28.808145,2025-04-01 01:41:33.551156,4.743011
15,adasyn,0.25,instancehardness,0.5,-1.0,COMPLETE,2025-04-01 01:41:33.564027,2025-04-01 01:41:33.602613,0.038586
16,ctgan,0.25,clustercentroid,0.125,-1.0,COMPLETE,2025-04-01 01:41:33.613367,2025-04-01 01:41:33.914553,0.301186
17,adasyn,0.25,tomeklinks,0.25,-1.0,COMPLETE,2025-04-01 01:41:33.935763,2025-04-01 01:41:33.973718,0.037955
18,copulagan,2,nearmiss,0,1.0,COMPLETE,2025-04-01 01:41:33.984731,2025-04-01 01:41:59.756931,25.7722
19,adasyn,auto,onesidedselection,0.5,-1.0,COMPLETE,2025-04-01 01:41:59.769206,2025-04-01 01:41:59.812223,0.043017
20,random,0.5,clustercentroid,0.25,-1.0,COMPLETE,2025-04-01 01:41:59.823726,2025-04-01 01:41:59.865513,0.041787
21,ctgan,2,random,0.0625,1.0,COMPLETE,2025-04-01 01:41:59.877124,2025-04-01 01:42:03.964111,4.086987
22,adasyn,2,onesidedselection,0.125,-1.0,COMPLETE,2025-04-01 01:42:03.977952,2025-04-01 01:42:04.018075,0.040123
23,copulagan,auto,instancehardness,0,1.0,COMPLETE,2025-04-01 01:42:04.029824,2025-04-01 01:42:08.077322,4.047498
24,smote,0.5,instancehardness,0.0625,-1.0,COMPLETE,2025-04-01 01:42:08.089699,2025-04-01 01:42:08.128747,0.039048
25,random,1,editednn,0.5,-1.0,COMPLETE,2025-04-01 01:42:08.139840,2025-04-01 01:42:08.182907,0.043067
26,fastml,0.25,nearmiss,0,1.0,COMPLETE,2025-04-01 01:42:08.194186,2025-04-01 01:42:12.078417,3.884231
27,fastml,1,onesidedselection,0.5,-1.0,COMPLETE,2025-04-01 01:42:12.100469,2025-04-01 01:42:12.199604,0.099135
28,random,0.5,editednn,0.5,-1.0,COMPLETE,2025-04-01 01:42:12.211345,2025-04-01 01:42:12.254172,0.042827
29,random,0,onesidedselection,0,-1.0,ERROR,,,0.0
30,copulagan,auto,nearmiss,0.125,-1.0,COMPLETE,2025-04-01 01:42:12.321318,2025-04-01 01:42:12.524939,0.203621
31,adasyn,2,clustercentroid,0.125,-1.0,COMPLETE,2025-04-01 01:42:12.546216,2025-04-01 01:42:12.587862,0.041646
32,ctgan,0.25,instancehardness,0.125,-1.0,COMPLETE,2025-04-01 01:42:12.599811,2025-04-01 01:42:12.884927,0.285116
33,tvae,1,onesidedselection,0,1.0,COMPLETE,2025-04-01 01:42:12.905958,2025-04-01 01:42:16.846148,3.94019
34,smote,1,tomeklinks,auto,-1.0,COMPLETE,2025-04-01 01:42:16.859303,2025-04-01 01:42:16.900042,0.040739
35,fastml,0.5,condensednn,0.25,-1.0,COMPLETE,2025-04-01 01:42:16.912375,2025-04-01 01:42:17.019367,0.106992
36,ctgan,0,clustercentroid,0,-1.0,ERROR,,,0.0
37,adasyn,auto,nearmiss,0,-1.0,COMPLETE,2025-04-01 01:42:17.095420,2025-04-01 01:42:17.136642,0.041222
38,copulagan,0.5,condensednn,0,1.0,COMPLETE,2025-04-01 01:42:17.147931,2025-04-01 01:42:21.188762,4.040831
39,ctgan,0.25,nearmiss,0.5,-1.0,COMPLETE,2025-04-01 01:42:21.201342,2025-04-01 01:42:21.497349,0.296007
40,random,2,clustercentroid,0,-1.0,COMPLETE,2025-04-01 01:42:21.518928,2025-04-01 01:42:21.566378,0.04745
41,ctgan,0,nearmiss,auto,-1.0,COMPLETE,2025-04-01 01:42:21.579131,2025-04-01 01:42:21.633406,0.054275
42,smote,2,instancehardness,auto,-1.0,COMPLETE,2025-04-01 01:42:21.645476,2025-04-01 01:42:21.684666,0.03919
43,ctgan,0.25,editednn,0.0625,-1.0,COMPLETE,2025-04-01 01:42:21.695912,2025-04-01 01:42:21.971814,0.275902
44,adasyn,0.5,onesidedselection,auto,-1.0,COMPLETE,2025-04-01 01:42:21.993259,2025-04-01 01:42:22.032406,0.039147
45,copulagan,0.25,instancehardness,0.25,-1.0,COMPLETE,2025-04-01 01:42:22.043512,2025-04-01 01:42:22.251429,0.207917
46,adasyn,0.25,editednn,0.25,-1.0,COMPLETE,2025-04-01 01:42:22.272443,2025-04-01 01:42:22.313879,0.041436
47,fastml,auto,condensednn,0,1.0,COMPLETE,2025-04-01 01:42:22.324977,2025-04-01 01:42:26.282694,3.957717
48,smote,2,clustercentroid,0.0625,-1.0,COMPLETE,2025-04-01 01:42:26.300125,2025-04-01 01:42:26.356927,0.056802
49,tvae,1,nearmiss,0,1.0,COMPLETE,2025-04-01 01:42:26.368794,2025-04-01 01:42:30.326646,3.957852
50,random,0.5,tomeklinks,0.5,-1.0,COMPLETE,2025-04-01 01:42:30.341025,2025-04-01 01:42:30.394212,0.053187
51,copulagan,2,clustercentroid,0.125,-1.0,COMPLETE,2025-04-01 01:42:30.411135,2025-04-01 01:42:30.626388,0.215253
52,ctgan,auto,editednn,auto,-1.0,COMPLETE,2025-04-01 01:42:30.638211,2025-04-01 01:42:30.939573,0.301362
53,copulagan,0.5,condensednn,0.5,-1.0,COMPLETE,2025-04-01 01:42:30.954386,2025-04-01 01:42:31.183802,0.229416
54,tvae,0.25,condensednn,0.125,-1.0,COMPLETE,2025-04-01 01:42:31.198860,2025-04-01 01:42:31.381795,0.182935
55,ctgan,0.5,nearmiss,0.5,-1.0,COMPLETE,2025-04-01 01:42:31.398306,2025-04-01 01:42:31.700287,0.301981
56,ctgan,0.25,instancehardness,0.25,-1.0,COMPLETE,2025-04-01 01:42:31.713768,2025-04-01 01:42:32.017608,0.30384
57,ctgan,auto,random,0.125,1.0,COMPLETE,2025-04-01 01:42:32.030883,2025-04-01 01:42:36.030218,3.999335
58,fastml,0,instancehardness,0.25,-1.0,COMPLETE,2025-04-01 01:42:36.046978,2025-04-01 01:42:36.110074,0.063096
59,gaussiancopula,0.25,nearmiss,0.0625,-1.0,COMPLETE,2025-04-01 01:42:36.124112,2025-04-01 01:42:36.236466,0.112354
60,copulagan,auto,editednn,0.25,-1.0,COMPLETE,2025-04-01 01:42:36.251923,2025-04-01 01:42:36.468945,0.217022
61,adasyn,1,condensednn,0.0625,-1.0,COMPLETE,2025-04-01 01:42:36.484011,2025-04-01 01:42:36.530655,0.046644
62,fastml,2,editednn,auto,-1.0,COMPLETE,2025-04-01 01:42:36.542580,2025-04-01 01:42:36.643344,0.100764
63,adasyn,0,onesidedselection,0.0625,-1.0,COMPLETE,2025-04-01 01:42:36.656412,2025-04-01 01:42:36.699629,0.043217
64,random,0.25,random,0.5,-1.0,COMPLETE,2025-04-01 01:42:36.712466,2025-04-01 01:42:36.764421,0.051955
65,copulagan,auto,instancehardness,0.0625,-1.0,COMPLETE,2025-04-01 01:42:36.776641,2025-04-01 01:42:36.982648,0.206007
66,adasyn,0.5,random,0.125,-1.0,COMPLETE,2025-04-01 01:42:36.994418,2025-04-01 01:42:37.038045,0.043627
67,random,0,editednn,0.5,-1.0,COMPLETE,2025-04-01 01:42:37.049849,2025-04-01 01:42:37.093096,0.043247
68,random,2,editednn,0.5,-1.0,COMPLETE,2025-04-01 01:42:37.105063,2025-04-01 01:42:37.150820,0.045757
69,tvae,auto,onesidedselection,auto,-1.0,COMPLETE,2025-04-01 01:42:37.162451,2025-04-01 01:42:37.333853,0.171402
70,random,2,clustercentroid,0.125,-1.0,COMPLETE,2025-04-01 01:42:37.347196,2025-04-01 01:42:37.410815,0.063619
71,copulagan,0,editednn,0.5,-1.0,COMPLETE,2025-04-01 01:42:37.426886,2025-04-01 01:42:37.505257,0.078371
72,random,2,nearmiss,0.125,-1.0,COMPLETE,2025-04-01 01:42:37.519174,2025-04-01 01:42:37.590575,0.071401
73,tvae,2,nearmiss,0.5,-1.0,COMPLETE,2025-04-01 01:42:37.606507,2025-04-01 01:42:37.798647,0.19214
74,smote,2,editednn,auto,-1.0,COMPLETE,2025-04-01 01:42:37.812547,2025-04-01 01:42:37.874291,0.061744
75,copulagan,2,random,0.0625,1.0,COMPLETE,2025-04-01 01:42:37.889956,2025-04-01 01:42:41.875454,3.985498
76,copulagan,auto,condensednn,0.0625,-1.0,COMPLETE,2025-04-01 01:42:41.891786,2025-04-01 01:42:42.108177,0.216391
77,tvae,2,nearmiss,0,1.0,COMPLETE,2025-04-01 01:42:42.121288,2025-04-01 01:42:46.068027,3.946739
78,copulagan,2,editednn,0,1.0,COMPLETE,2025-04-01 01:42:46.082886,2025-04-01 01:42:50.082251,3.999365
79,copulagan,0,onesidedselection,0.125,-1.0,COMPLETE,2025-04-01 01:42:50.104219,2025-04-01 01:42:50.249463,0.145244
80,copulagan,1,clustercentroid,0.125,-1.0,COMPLETE,2025-04-01 01:42:50.271460,2025-04-01 01:42:50.567137,0.295677
81,fastml,auto,onesidedselection,0.125,-1.0,COMPLETE,2025-04-01 01:42:50.596682,2025-04-01 01:42:50.779696,0.183014
82,random,1,nearmiss,0.125,-1.0,COMPLETE,2025-04-01 01:42:50.809651,2025-04-01 01:42:50.942333,0.132682
83,smote,0.5,clustercentroid,auto,-1.0,COMPLETE,2025-04-01 01:42:50.995986,2025-04-01 01:42:51.050813,0.054827
84,smote,1,random,0.0625,-1.0,COMPLETE,2025-04-01 01:42:51.063288,2025-04-01 01:42:51.106241,0.042953
85,tvae,0,nearmiss,0.25,-1.0,COMPLETE,2025-04-01 01:42:51.117845,2025-04-01 01:42:51.172392,0.054547
86,smote,2,clustercentroid,auto,-1.0,COMPLETE,2025-04-01 01:42:51.184876,2025-04-01 01:42:51.229083,0.044207
87,smote,0,editednn,0.0625,-1.0,COMPLETE,2025-04-01 01:42:51.240771,2025-04-01 01:42:51.286719,0.045948
88,gaussiancopula,1,random,0,1.0,COMPLETE,2025-04-01 01:42:51.298989,2025-04-01 01:42:55.187784,3.888795
89,copulagan,0,instancehardness,0.0625,-1.0,COMPLETE,2025-04-01 01:42:55.200259,2025-04-01 01:42:55.255391,0.055132
90,ctgan,2,condensednn,0.125,-1.0,COMPLETE,2025-04-01 01:42:55.267259,2025-04-01 01:42:55.548093,0.280834
91,random,0.5,clustercentroid,0.0625,-1.0,COMPLETE,2025-04-01 01:42:55.570356,2025-04-01 01:42:55.620905,0.050549
92,smote,0.5,condensednn,auto,-1.0,COMPLETE,2025-04-01 01:42:55.632968,2025-04-01 01:42:55.675726,0.042758
93,tvae,1,onesidedselection,auto,-1.0,COMPLETE,2025-04-01 01:42:55.688019,2025-04-01 01:42:55.858909,0.17089
94,adasyn,0.25,condensednn,0,-1.0,COMPLETE,2025-04-01 01:42:55.880677,2025-04-01 01:42:55.923925,0.043248
95,adasyn,0.5,condensednn,0.5,-1.0,COMPLETE,2025-04-01 01:42:55.936189,2025-04-01 01:42:55.979455,0.043266
96,copulagan,1,nearmiss,0.25,-1.0,COMPLETE,2025-04-01 01:42:55.990859,2025-04-01 01:42:56.195325,0.204466
97,smote,0,clustercentroid,0,-1.0,ERROR,,,0.0
98,smote,0,tomeklinks,0,-1.0,ERROR,,,0.0
99,copulagan,0,clustercentroid,0.125,-1.0,COMPLETE,2025-04-01 01:42:56.330133,2025-04-01 01:42:56.386479,0.056346
100,ctgan,1,tomeklinks,0.125,-1.0,COMPLETE,2025-04-01 01:42:56.399476,2025-04-01 01:42:56.689651,0.290175
101,fastml,1,condensednn,auto,-1.0,COMPLETE,2025-04-01 01:42:56.710977,2025-04-01 01:42:56.814961,0.103984
102,adasyn,0.5,random,auto,-1.0,COMPLETE,2025-04-01 01:42:56.826166,2025-04-01 01:42:56.865976,0.03981
103,smote,2,editednn,0.25,-1.0,COMPLETE,2025-04-01 01:42:56.876919,2025-04-01 01:42:56.918781,0.041862
104,ctgan,0,tomeklinks,auto,-1.0,COMPLETE,2025-04-01 01:42:56.929787,2025-04-01 01:42:56.982201,0.052414
105,smote,2,instancehardness,0.25,-1.0,COMPLETE,2025-04-01 01:42:56.993850,2025-04-01 01:42:57.036182,0.042332
106,smote,auto,condensednn,0.0625,-1.0,COMPLETE,2025-04-01 01:42:57.048470,2025-04-01 01:42:57.089897,0.041427
107,fastml,auto,editednn,0.125,-1.0,COMPLETE,2025-04-01 01:42:57.101717,2025-04-01 01:42:57.201417,0.0997
108,tvae,0.25,editednn,0.25,-1.0,COMPLETE,2025-04-01 01:42:57.213433,2025-04-01 01:42:57.379818,0.166385
109,adasyn,0.25,editednn,0.125,-1.0,COMPLETE,2025-04-01 01:42:57.400656,2025-04-01 01:42:57.444303,0.043647
