trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,copulagan,0.5,instancehardness,0.25,0.7655692454917912,COMPLETE,2025-03-29 01:36:59.800776,2025-03-29 01:37:25.233309,25.432533
2,tvae,1,clustercentroid,auto,0.712196761044398,COMPLETE,2025-03-29 01:37:25.247551,2025-03-29 01:37:37.762225,12.514674
3,gaussiancopula,0.5,editednn,0.0625,0.3898191076993236,COMPLETE,2025-03-29 01:37:37.783686,2025-03-29 01:37:43.769567,5.985881
4,fastml,0,instancehardness,0.125,0.7083334800857035,COMPLETE,2025-03-29 01:37:43.791532,2025-03-29 01:37:50.842373,7.050841
5,adasyn,0.25,condensednn,0.125,-1.0,COMPLETE,2025-03-29 01:37:50.854445,2025-03-29 01:37:50.896854,0.042409
6,adasyn,0,nearmiss,0.25,0.7213670299493693,COMPLETE,2025-03-29 01:37:50.909060,2025-03-29 01:37:56.691915,5.782855
7,random,0.5,editednn,0.5,0.49581923731358224,COMPLETE,2025-03-29 01:37:56.703437,2025-03-29 01:38:02.143103,5.439666
8,random,1,onesidedselection,0.0625,0.7587761049052938,COMPLETE,2025-03-29 01:38:02.166097,2025-03-29 01:38:09.342326,7.176229
9,random,0,condensednn,auto,0.7122316902168051,COMPLETE,2025-03-29 01:38:09.354419,2025-03-29 01:38:14.895620,5.541201
10,ctgan,0.5,random,0.125,0.7243999999999999,COMPLETE,2025-03-29 01:38:14.907918,2025-03-29 01:38:35.674716,20.766798
11,random,2,tomeklinks,0,0.7706303189002152,COMPLETE,2025-03-29 01:38:35.688911,2025-03-29 01:38:44.450588,8.761677
12,adasyn,2,editednn,0,0.7502419028024565,COMPLETE,2025-03-29 01:38:44.472359,2025-03-29 01:38:52.524488,8.052129
13,fastml,0,condensednn,0.25,0.7122316902168051,COMPLETE,2025-03-29 01:38:52.536596,2025-03-29 01:38:58.101374,5.564778
14,ctgan,2,condensednn,0.125,0.6653125,COMPLETE,2025-03-29 01:38:58.113451,2025-03-29 01:39:05.643752,7.530301
15,random,2,onesidedselection,0,0.7706303189002152,COMPLETE,2025-03-29 01:39:05.657397,2025-03-29 01:39:14.991470,9.334073
16,ctgan,0.25,random,auto,0.75,COMPLETE,2025-03-29 01:39:15.004894,2025-03-29 01:39:22.010890,7.005996
17,ctgan,0.25,condensednn,0.125,0.6700174644756689,COMPLETE,2025-03-29 01:39:22.023078,2025-03-29 01:39:28.079629,6.056551
18,fastml,0,condensednn,0,-1.0,ERROR,,,0.0
19,random,1,editednn,0.0625,0.6159590792838874,COMPLETE,2025-03-29 01:39:36.019287,2025-03-29 01:39:42.121975,6.102688
20,fastml,0,onesidedselection,0.0625,0.7228604118993135,COMPLETE,2025-03-29 01:39:42.133519,2025-03-29 01:39:48.545519,6.412
21,adasyn,0.5,nearmiss,0.25,0.7668,COMPLETE,2025-03-29 01:39:48.557469,2025-03-29 01:39:54.586895,6.029426
22,adasyn,0,editednn,auto,0.5500576354306227,COMPLETE,2025-03-29 01:39:54.609087,2025-03-29 01:39:59.219806,4.610719
23,copulagan,1,nearmiss,0.125,0.7341316614420061,COMPLETE,2025-03-29 01:39:59.231078,2025-03-29 01:40:05.665715,6.434637
24,random,0.25,tomeklinks,0.25,0.769190390617611,COMPLETE,2025-03-29 01:40:05.677541,2025-03-29 01:40:12.457288,6.779747
25,smote,2,onesidedselection,0.125,0.7662351190476191,COMPLETE,2025-03-29 01:40:12.478887,2025-03-29 01:40:19.984774,7.505887
26,fastml,0.5,clustercentroid,0.25,0.7041811481628671,COMPLETE,2025-03-29 01:40:20.005617,2025-03-29 01:40:27.075173,7.069556
27,ctgan,0.25,instancehardness,0.5,0.761236414200176,COMPLETE,2025-03-29 01:40:27.096394,2025-03-29 01:40:34.336778,7.240384
28,tvae,0,clustercentroid,0.5,0.75,COMPLETE,2025-03-29 01:40:34.348430,2025-03-29 01:40:41.596182,7.247752
29,gaussiancopula,0.5,tomeklinks,auto,0.7444583478160121,COMPLETE,2025-03-29 01:40:41.607418,2025-03-29 01:40:48.055189,6.447771
30,ctgan,0.5,editednn,0.25,0.39360025141420496,COMPLETE,2025-03-29 01:40:48.067290,2025-03-29 01:40:54.138786,6.071496
31,copulagan,0.25,instancehardness,0.125,0.7721158155442859,COMPLETE,2025-03-29 01:40:54.150691,2025-03-29 01:41:02.089458,7.938767
32,fastml,0.5,onesidedselection,0.0625,0.7237307152875174,COMPLETE,2025-03-29 01:41:02.110487,2025-03-29 01:41:09.706657,7.59617
33,tvae,auto,editednn,0.25,0.4895046904315196,COMPLETE,2025-03-29 01:41:09.718069,2025-03-29 01:41:14.713339,4.99527
34,ctgan,0.25,nearmiss,0.25,0.7456176919166243,COMPLETE,2025-03-29 01:41:14.734989,2025-03-29 01:41:21.013937,6.278948
35,adasyn,0.5,tomeklinks,0.25,0.769190390617611,COMPLETE,2025-03-29 01:41:21.026174,2025-03-29 01:41:28.708867,7.682693
36,smote,0.25,random,0.5,0.7244342211460855,COMPLETE,2025-03-29 01:41:28.730449,2025-03-29 01:41:34.762060,6.031611
37,tvae,1,onesidedselection,0.5,0.7443607864455921,COMPLETE,2025-03-29 01:41:34.773421,2025-03-29 01:41:41.372221,6.5988
38,smote,0,clustercentroid,0,-1.0,ERROR,,,0.0
39,ctgan,0.25,onesidedselection,0.5,0.7543858536438043,COMPLETE,2025-03-29 01:41:48.815299,2025-03-29 01:41:55.446202,6.630903
40,ctgan,2,condensednn,0.5,0.6653125,COMPLETE,2025-03-29 01:41:55.458200,2025-03-29 01:42:02.639040,7.18084
41,copulagan,0,condensednn,0,-1.0,ERROR,,,0.0
42,smote,1,clustercentroid,0.0625,0.7573423671550806,COMPLETE,2025-03-29 01:42:10.046176,2025-03-29 01:42:17.448549,7.402373
43,gaussiancopula,0.5,editednn,0.25,0.3898191076993236,COMPLETE,2025-03-29 01:42:17.469580,2025-03-29 01:42:22.546501,5.076921
44,gaussiancopula,2,condensednn,0.125,0.6072300007568303,COMPLETE,2025-03-29 01:42:22.557607,2025-03-29 01:42:28.922263,6.364656
45,copulagan,2,random,0,0.7744359880402284,COMPLETE,2025-03-29 01:42:28.934624,2025-03-29 01:42:37.259256,8.324632
46,tvae,0,condensednn,auto,0.7122316902168051,COMPLETE,2025-03-29 01:42:37.273585,2025-03-29 01:42:43.262051,5.988466
47,gaussiancopula,0.25,random,0.125,0.7362168266516094,COMPLETE,2025-03-29 01:42:43.275482,2025-03-29 01:42:49.999919,6.724437
48,copulagan,0.5,instancehardness,0,0.7372567783094098,COMPLETE,2025-03-29 01:42:50.021711,2025-03-29 01:42:56.561623,6.539912
49,adasyn,1,tomeklinks,0.125,0.7889290917921321,COMPLETE,2025-03-29 01:42:56.574054,2025-03-29 01:43:03.786190,7.212136
50,gaussiancopula,0.25,tomeklinks,0.5,0.7529984779299848,COMPLETE,2025-03-29 01:43:03.807149,2025-03-29 01:43:10.633400,6.826251
51,fastml,auto,condensednn,0.25,0.5992675635276532,COMPLETE,2025-03-29 01:43:10.654225,2025-03-29 01:43:17.789659,7.135434
52,gaussiancopula,0,tomeklinks,0.0625,0.751313053523296,COMPLETE,2025-03-29 01:43:17.810843,2025-03-29 01:43:24.068843,6.258
53,adasyn,0,tomeklinks,0.25,0.751313053523296,COMPLETE,2025-03-29 01:43:24.081812,2025-03-29 01:43:30.289308,6.207496
54,tvae,1,instancehardness,0,0.7675733038890934,COMPLETE,2025-03-29 01:43:30.301796,2025-03-29 01:43:37.714798,7.413002
55,ctgan,auto,nearmiss,0.125,0.7092728946157385,COMPLETE,2025-03-29 01:43:37.727067,2025-03-29 01:43:44.667669,6.940602
56,smote,0,editednn,0.0625,0.5500576354306227,COMPLETE,2025-03-29 01:43:44.679654,2025-03-29 01:43:49.302872,4.623218
57,copulagan,0,random,0.125,0.7541465062846331,COMPLETE,2025-03-29 01:43:49.315214,2025-03-29 01:43:55.622970,6.307756
58,gaussiancopula,auto,random,0,0.7343357192473801,COMPLETE,2025-03-29 01:43:55.635177,2025-03-29 01:44:02.421434,6.786257
59,ctgan,0.5,instancehardness,auto,0.7355836397058824,COMPLETE,2025-03-29 01:44:02.433117,2025-03-29 01:44:10.371867,7.93875
60,random,auto,nearmiss,0.25,0.7730179807278387,COMPLETE,2025-03-29 01:44:10.387077,2025-03-29 01:44:18.465822,8.078745
61,random,0.5,instancehardness,0.0625,0.7371035662587182,COMPLETE,2025-03-29 01:44:18.479465,2025-03-29 01:44:26.328206,7.848741
62,adasyn,auto,tomeklinks,0,0.7502419028024565,COMPLETE,2025-03-29 01:44:26.343068,2025-03-29 01:44:35.024655,8.681587
63,random,0.25,nearmiss,auto,0.7838736681887366,COMPLETE,2025-03-29 01:44:35.040268,2025-03-29 01:44:42.372071,7.331803
64,gaussiancopula,0,condensednn,0.0625,0.7122316902168051,COMPLETE,2025-03-29 01:44:42.400059,2025-03-29 01:44:48.587469,6.18741
65,ctgan,0.25,clustercentroid,0,0.7838736681887366,COMPLETE,2025-03-29 01:44:48.599955,2025-03-29 01:44:57.489883,8.889928
66,smote,2,clustercentroid,0.25,0.7404043529286248,COMPLETE,2025-03-29 01:44:57.502214,2025-03-29 01:45:04.955099,7.452885
