group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
0.5 + 0.5,auto + 0,0.0008,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1921,small
0.25 + auto,auto + 0,0.0008,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1958,small
1 + 0,2 + 0.25,0.0008,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1975,small
0.25 + auto,2 + 0,0.0009,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1973,small
0.5 + 0.5,2 + 0,0.001,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1949,small
0.5 + 0,1 + 0.25,0.0012,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1966,small
0.25 + auto,1 + 0,0.0013,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1925,small
0.5 + 0,auto + 0.25,0.0013,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1968,small
0.25 + 0,0.5 + 0.0625,0.0014,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1867,small
0.5 + 0.5,1 + 0,0.0014,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1908,small
0.5 + 0,2 + 0.0625,0.0017,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1952,small
1 + 0.25,auto + 0,0.0018,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1895,small
auto + 0,auto + 0.25,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1976,small
0 + 0.5,0.5 + 0,0.002,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1909,small
0.25 + 0,0.5 + 0.125,0.0021,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1812,small
1 + 0.25,2 + 0,0.0022,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1891,small
2 + 0,auto + 0.25,0.0024,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1936,small
2 + 0.0625,auto + 0,0.0025,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1878,small
0.25 + 0,0.25 + 0.25,0.0029,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1934,small
0 + 0.5,auto + 0,0.0031,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1895,small
0.5 + 0,auto + 0.125,0.0031,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1905,small
1 + 0,1 + 0.25,0.0031,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1841,small
2 + 0,2 + 0.0625,0.0031,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1896,small
0.5 + 0,0.5 + 0.25,0.0032,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1854,small
1 + 0,auto + 0.25,0.0034,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1873,small
0.5 + 0,2 + 0.125,0.0034,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1858,small
0.25 + 0.5,0.5 + 0,0.0037,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1872,small
0 + 0.5,2 + 0,0.0037,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1804,small
0.5 + 0,1 + 0.125,0.0043,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1861,small
1 + 0,2 + 0.0625,0.0043,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1865,small
auto + 0,auto + 0.125,0.0046,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1893,small
0.5 + 0.25,auto + 0,0.0048,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1795,small
2 + 0.125,auto + 0,0.0051,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1814,small
0 + 0.5,1 + 0,0.0053,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1774,small
0 + 0.25,0.25 + 0,0.0054,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1896,small
2 + 0,auto + 0.125,0.0055,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1865,small
0.5 + 0,1 + 0.0625,0.0055,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1826,small
0.25 + 0.5,auto + 0,0.0056,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1808,small
0.5 + 0.25,2 + 0,0.0057,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1785,small
0.5 + 0,auto + 0.0625,0.0057,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1843,small
2 + 0,2 + 0.125,0.0061,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.1815,small
1 + 0.125,auto + 0,0.0064,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1775,small
0.25 + 0.5,2 + 0,0.0066,True,Kruskal-Wallis + Dunn,Cliff's delta,0.1814,small
