group1,group2,p_value,reject,test_used,effect_type,effect_value,effect_interpretation
fastml + nearmiss,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6794,large
fastml + nearmiss,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6961,large
fastml + nearmiss,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6717,large
fastml + nearmiss,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7608,large
fastml + onesidedselection,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3757,medium
fastml + onesidedselection,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3577,medium
fastml + onesidedselection,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3769,medium
fastml + onesidedselection,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3715,medium
fastml + onesidedselection,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.373,medium
fastml + onesidedselection,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3784,medium
fastml + onesidedselection,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3557,medium
fastml + onesidedselection,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3802,medium
fastml + onesidedselection,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.5016,large
fastml + onesidedselection,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.5316,large
fastml + onesidedselection,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4502,medium
fastml + onesidedselection,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3553,medium
fastml + random,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7187,large
fastml + random,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.2987,small
fastml + random,gaussiancopula + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3959,medium
fastml + random,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7323,large
fastml + random,random + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.3872,medium
fastml + random,smote + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7301,large
fastml + random,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7958,large
fastml + instancehardness,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.7875,large
fastml + instancehardness,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6827,large
fastml + instancehardness,gaussiancopula + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.6777,large
fastml + editednn,tvae + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.4392,medium
fastml + condensednn,random + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6984,large
fastml + condensednn,random + onesidedselection,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.4444,medium
fastml + condensednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7082,large
fastml + condensednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7198,large
fastml + condensednn,smote + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7792,large
fastml + condensednn,smote + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.5633,large
fastml + condensednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.786,large
fastml + condensednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7913,large
fastml + condensednn,tvae + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6816,large
fastml + condensednn,tvae + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3462,medium
fastml + condensednn,tvae + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6835,large
fastml + condensednn,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3944,medium
fastml + condensednn,tvae + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.6756,large
fastml + condensednn,tvae + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.71,large
fastml + editednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3175,small
fastml + editednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3198,small
copulagan + editednn,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7121,large
fastml + editednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3124,small
fastml + editednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3241,small
fastml + editednn,random + condensednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,-0.388,medium
fastml + editednn,random + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.2983,small
fastml + editednn,random + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.3355,medium
fastml + editednn,smote + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.5118,large
fastml + editednn,smote + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.5556,large
fastml + condensednn,tvae + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.7026,large
ctgan + editednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9108,large
ctgan + editednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9268,large
ctgan + editednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9385,large
copulagan + condensednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8775,large
copulagan + condensednn,gaussiancopula + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9082,large
copulagan + condensednn,gaussiancopula + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9193,large
copulagan + condensednn,gaussiancopula + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8864,large
copulagan + condensednn,gaussiancopula + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9219,large
copulagan + condensednn,gaussiancopula + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.5469,large
copulagan + editednn,random + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9029,large
copulagan + condensednn,gaussiancopula + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8848,large
copulagan + condensednn,fastml + tomeklinks,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9001,large
copulagan + condensednn,fastml + random,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9185,large
copulagan + condensednn,fastml + nearmiss,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8851,large
copulagan + condensednn,fastml + instancehardness,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.9162,large
copulagan + condensednn,fastml + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.54,large
copulagan + editednn,random + editednn,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.653,large
copulagan + condensednn,fastml + clustercentroid,0.0,True,Kruskal-Wallis + Dunn,Cliff's delta,0.8775,large
