trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,smote,0.25,instancehardness,0.0625,-1.0,COMPLETE,2025-03-29 21:35:27.742481,2025-03-29 21:35:28.518673,0.776192
2,adasyn,1,onesidedselection,0.5,-1.0,COMPLETE,2025-03-29 21:35:28.536917,2025-03-29 21:35:28.588309,0.051392
3,tvae,2,editednn,0.0625,-1.0,COMPLETE,2025-03-29 21:35:28.602934,2025-03-29 21:35:28.686790,0.083856
4,gaussiancopula,2,clustercentroid,0.5,-1.0,COMPLETE,2025-03-29 21:35:28.699911,2025-03-29 21:35:29.636780,0.936869
5,random,0.25,nearmiss,0.25,-1.0,COMPLETE,2025-03-29 21:35:29.659396,2025-03-29 21:35:29.724266,0.06487
6,fastml,2,tomeklinks,auto,-1.0,COMPLETE,2025-03-29 21:35:29.736966,2025-03-29 21:35:29.897734,0.160768
7,smote,0,condensednn,0.0625,-1.0,COMPLETE,2025-03-29 21:35:29.920230,2025-03-29 21:35:29.962486,0.042256
8,ctgan,0,instancehardness,0,-1.0,ERROR,,,0.0
9,adasyn,0.5,nearmiss,0.25,-1.0,COMPLETE,2025-03-29 21:35:30.061839,2025-03-29 21:35:30.109387,0.047548
10,gaussiancopula,2,onesidedselection,0.25,-1.0,COMPLETE,2025-03-29 21:35:30.121476,2025-03-29 21:35:30.170938,0.049462
11,fastml,auto,nearmiss,auto,-1.0,COMPLETE,2025-03-29 21:35:30.183101,2025-03-29 21:35:30.231869,0.048768
12,random,0,random,0.125,-1.0,COMPLETE,2025-03-29 21:35:30.243957,2025-03-29 21:35:30.490289,0.246332
13,tvae,0,clustercentroid,0,-1.0,ERROR,,,0.0
14,tvae,0.5,clustercentroid,0,-1.0,COMPLETE,2025-03-29 21:35:30.592871,2025-03-29 21:35:30.669722,0.076851
15,adasyn,0.25,instancehardness,0.5,-1.0,COMPLETE,2025-03-29 21:35:30.683000,2025-03-29 21:35:31.266126,0.583126
16,ctgan,0.25,clustercentroid,0.125,-1.0,COMPLETE,2025-03-29 21:35:31.288920,2025-03-29 21:35:31.368903,0.079983
17,adasyn,0.25,tomeklinks,0.25,-1.0,COMPLETE,2025-03-29 21:35:31.381010,2025-03-29 21:35:31.428405,0.047395
18,copulagan,2,nearmiss,0,-1.0,COMPLETE,2025-03-29 21:35:31.440519,2025-03-29 21:35:31.770225,0.329706
19,adasyn,auto,onesidedselection,0.5,-1.0,COMPLETE,2025-03-29 21:35:31.782212,2025-03-29 21:35:31.828696,0.046484
20,random,0.5,clustercentroid,0.25,-1.0,COMPLETE,2025-03-29 21:35:31.840199,2025-03-29 21:35:31.901504,0.061305
21,ctgan,2,random,0.0625,-1.0,COMPLETE,2025-03-29 21:35:31.912988,2025-03-29 21:35:31.989219,0.076231
22,adasyn,2,onesidedselection,0.125,-1.0,COMPLETE,2025-03-29 21:35:32.000953,2025-03-29 21:35:32.048127,0.047174
23,copulagan,auto,instancehardness,0,-1.0,COMPLETE,2025-03-29 21:35:32.059882,2025-03-29 21:35:32.397504,0.337622
24,smote,0.5,instancehardness,0.0625,-1.0,COMPLETE,2025-03-29 21:35:32.409719,2025-03-29 21:35:32.951593,0.541874
25,random,1,editednn,0.5,-1.0,COMPLETE,2025-03-29 21:35:32.964358,2025-03-29 21:35:33.030375,0.066017
26,fastml,0.25,nearmiss,0,-1.0,COMPLETE,2025-03-29 21:35:33.042293,2025-03-29 21:35:33.119310,0.077017
27,fastml,1,onesidedselection,0.5,-1.0,COMPLETE,2025-03-29 21:35:33.131169,2025-03-29 21:35:33.180647,0.049478
28,random,0.5,editednn,0.5,-1.0,COMPLETE,2025-03-29 21:35:33.192467,2025-03-29 21:35:33.256115,0.063648
29,random,0,onesidedselection,0,-1.0,ERROR,,,0.0
30,copulagan,auto,nearmiss,0.125,-1.0,COMPLETE,2025-03-29 21:35:33.346749,2025-03-29 21:35:33.769520,0.422771
31,adasyn,2,clustercentroid,0.125,-1.0,COMPLETE,2025-03-29 21:35:33.791616,2025-03-29 21:35:33.839773,0.048157
32,ctgan,0.25,instancehardness,0.125,-1.0,COMPLETE,2025-03-29 21:35:33.852014,2025-03-29 21:35:33.928894,0.07688
33,tvae,1,onesidedselection,0,-1.0,COMPLETE,2025-03-29 21:35:33.940790,2025-03-29 21:35:34.017717,0.076927
34,smote,1,tomeklinks,auto,-1.0,COMPLETE,2025-03-29 21:35:34.033611,2025-03-29 21:35:34.080043,0.046432
35,fastml,0.5,condensednn,0.25,-1.0,COMPLETE,2025-03-29 21:35:34.092716,2025-03-29 21:35:34.142816,0.0501
36,ctgan,0,clustercentroid,0,-1.0,ERROR,,,0.0
37,adasyn,auto,nearmiss,0,-1.0,COMPLETE,2025-03-29 21:35:34.245768,2025-03-29 21:35:34.320687,0.074919
38,copulagan,0.5,condensednn,0,-1.0,COMPLETE,2025-03-29 21:35:34.332596,2025-03-29 21:35:34.665892,0.333296
39,ctgan,0.25,nearmiss,0.5,-1.0,COMPLETE,2025-03-29 21:35:34.678831,2025-03-29 21:35:34.756959,0.078128
40,random,2,clustercentroid,0,-1.0,COMPLETE,2025-03-29 21:35:34.770262,2025-03-29 21:35:34.861786,0.091524
41,ctgan,0,nearmiss,auto,-1.0,COMPLETE,2025-03-29 21:35:34.874063,2025-03-29 21:35:34.952753,0.07869
42,smote,2,instancehardness,auto,-1.0,COMPLETE,2025-03-29 21:35:34.965236,2025-03-29 21:35:35.513196,0.54796
43,ctgan,0.25,editednn,0.0625,-1.0,COMPLETE,2025-03-29 21:35:35.535984,2025-03-29 21:35:35.620904,0.08492
44,adasyn,0.5,onesidedselection,auto,-1.0,COMPLETE,2025-03-29 21:35:35.648478,2025-03-29 21:35:35.696544,0.048066
45,copulagan,0.25,instancehardness,0.25,-1.0,COMPLETE,2025-03-29 21:35:35.709552,2025-03-29 21:35:36.052250,0.342698
46,adasyn,0.25,editednn,0.25,-1.0,COMPLETE,2025-03-29 21:35:36.064776,2025-03-29 21:35:36.111806,0.04703
47,fastml,auto,condensednn,0,-1.0,COMPLETE,2025-03-29 21:35:36.123694,2025-03-29 21:35:36.200989,0.077295
48,smote,2,clustercentroid,0.0625,-1.0,COMPLETE,2025-03-29 21:35:36.213277,2025-03-29 21:35:36.261591,0.048314
49,tvae,1,nearmiss,0,-1.0,COMPLETE,2025-03-29 21:35:36.273652,2025-03-29 21:35:36.353834,0.080182
50,random,0.5,tomeklinks,0.5,-1.0,COMPLETE,2025-03-29 21:35:36.365690,2025-03-29 21:35:36.429546,0.063856
51,copulagan,2,clustercentroid,0.125,-1.0,COMPLETE,2025-03-29 21:35:36.441778,2025-03-29 21:35:36.778786,0.337008
52,ctgan,auto,editednn,auto,-1.0,COMPLETE,2025-03-29 21:35:36.790829,2025-03-29 21:35:36.868512,0.077683
53,copulagan,0.5,condensednn,0.5,-1.0,COMPLETE,2025-03-29 21:35:36.881001,2025-03-29 21:35:37.218273,0.337272
54,tvae,0.25,condensednn,0.125,-1.0,COMPLETE,2025-03-29 21:35:37.230283,2025-03-29 21:35:37.306307,0.076024
55,ctgan,0.5,nearmiss,0.5,-1.0,COMPLETE,2025-03-29 21:35:37.318040,2025-03-29 21:35:37.397448,0.079408
56,ctgan,0.25,instancehardness,0.25,-1.0,COMPLETE,2025-03-29 21:35:37.409429,2025-03-29 21:35:37.486999,0.07757
57,ctgan,auto,random,0.125,-1.0,COMPLETE,2025-03-29 21:35:37.498763,2025-03-29 21:35:37.576838,0.078075
58,fastml,0,instancehardness,0.25,-1.0,COMPLETE,2025-03-29 21:35:37.589732,2025-03-29 21:35:38.124021,0.534289
59,gaussiancopula,0.25,nearmiss,0.0625,-1.0,COMPLETE,2025-03-29 21:35:38.147058,2025-03-29 21:35:38.200574,0.053516
60,copulagan,auto,editednn,0.25,-1.0,COMPLETE,2025-03-29 21:35:38.212657,2025-03-29 21:35:38.545026,0.332369
61,adasyn,1,condensednn,0.0625,-1.0,COMPLETE,2025-03-29 21:35:38.557251,2025-03-29 21:35:38.605906,0.048655
62,fastml,2,editednn,auto,-1.0,COMPLETE,2025-03-29 21:35:38.617949,2025-03-29 21:35:38.667479,0.04953
63,adasyn,0,onesidedselection,0.0625,-1.0,COMPLETE,2025-03-29 21:35:38.679600,2025-03-29 21:35:38.722160,0.04256
64,random,0.25,random,0.5,-1.0,COMPLETE,2025-03-29 21:35:38.734193,2025-03-29 21:35:38.832446,0.098253
65,copulagan,auto,instancehardness,0.0625,-1.0,COMPLETE,2025-03-29 21:35:38.844938,2025-03-29 21:35:39.197085,0.352147
66,adasyn,0.5,random,0.125,-1.0,COMPLETE,2025-03-29 21:35:39.219201,2025-03-29 21:35:39.307228,0.088027
67,random,0,editednn,0.5,-1.0,COMPLETE,2025-03-29 21:35:39.319547,2025-03-29 21:35:39.363555,0.044008
