trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
45,fastml,0.5,nearmiss,0.5,0.9848225341252012,COMPLETE,2025-03-29 06:29:17.523737,2025-03-29 06:29:32.837872,15.314135
46,tvae,0,nearmiss,0.25,0.9892179705155923,COMPLETE,2025-03-29 06:29:32.856296,2025-03-29 06:29:48.742534,15.886238
47,ctgan,0.5,clustercentroid,auto,0.9782569445361456,COMPLETE,2025-03-29 06:29:48.757236,2025-03-29 06:30:12.097363,23.340127
48,adasyn,1,condensednn,0,-1.0,COMPLETE,2025-03-29 06:30:12.109541,2025-03-29 06:30:12.151184,0.041643
49,random,1,onesidedselection,0.0625,0.9783747611716287,COMPLETE,2025-03-29 06:30:12.162898,2025-03-29 06:30:25.428922,13.266024
50,ctgan,0.5,clustercentroid,0,0.9782971627011856,COMPLETE,2025-03-29 06:30:25.450277,2025-03-29 06:30:42.847081,17.396804
51,copulagan,auto,nearmiss,0.25,0.9848362611804578,COMPLETE,2025-03-29 06:30:42.862674,2025-03-29 06:30:58.178411,15.315737
52,tvae,1,instancehardness,auto,0.9826641023852425,COMPLETE,2025-03-29 06:30:58.193089,2025-03-29 06:31:14.936430,16.743341
53,fastml,0.5,instancehardness,0.0625,0.9848239453080575,COMPLETE,2025-03-29 06:31:14.948036,2025-03-29 06:31:31.312044,16.364008
54,adasyn,2,tomeklinks,0,-1.0,COMPLETE,2025-03-29 06:31:31.323545,2025-03-29 06:31:31.364579,0.041034
55,fastml,0.5,onesidedselection,0.5,0.9848589721253914,COMPLETE,2025-03-29 06:31:31.376420,2025-03-29 06:31:46.676209,15.299789
56,gaussiancopula,1,condensednn,0.125,0.7541065445177416,COMPLETE,2025-03-29 06:31:46.692770,2025-03-29 06:31:59.233773,12.541003
57,random,0,tomeklinks,0.5,0.984768810218344,COMPLETE,2025-03-29 06:31:59.248617,2025-03-29 06:32:14.711711,15.463094
58,random,auto,onesidedselection,0.0625,0.9783747611716287,COMPLETE,2025-03-29 06:32:14.726051,2025-03-29 06:32:27.856300,13.130249
59,gaussiancopula,2,instancehardness,0.25,0.9848435926094576,COMPLETE,2025-03-29 06:32:27.875027,2025-03-29 06:32:43.613131,15.738104
60,adasyn,0.5,tomeklinks,0.25,-1.0,COMPLETE,2025-03-29 06:32:43.624791,2025-03-29 06:32:43.671226,0.046435
61,adasyn,1,onesidedselection,0.25,-1.0,COMPLETE,2025-03-29 06:32:43.682653,2025-03-29 06:32:43.726504,0.043851
62,smote,auto,nearmiss,0.25,0.9869494027026645,COMPLETE,2025-03-29 06:32:43.738174,2025-03-29 06:32:57.698104,13.95993
63,adasyn,0.5,tomeklinks,0.0625,-1.0,COMPLETE,2025-03-29 06:32:57.720023,2025-03-29 06:32:57.764768,0.044745
64,adasyn,1,nearmiss,0.5,-1.0,COMPLETE,2025-03-29 06:32:57.776181,2025-03-29 06:32:57.818728,0.042547
65,smote,0.25,tomeklinks,0.125,0.9805547907596056,COMPLETE,2025-03-29 06:32:57.830525,2025-03-29 06:33:13.770112,15.939587
66,smote,0.25,clustercentroid,auto,0.9935066489688338,COMPLETE,2025-03-29 06:33:13.783057,2025-03-29 06:33:35.569798,21.786741
67,adasyn,0.5,onesidedselection,0.25,-1.0,COMPLETE,2025-03-29 06:33:35.581529,2025-03-29 06:33:35.627175,0.045646
68,gaussiancopula,0.25,instancehardness,auto,0.9848435926094576,COMPLETE,2025-03-29 06:33:35.638552,2025-03-29 06:33:51.517758,15.879206
69,copulagan,2,condensednn,0,0.9848186793619221,COMPLETE,2025-03-29 06:33:51.529508,2025-03-29 06:34:08.657436,17.127928
70,fastml,0.5,instancehardness,0.25,0.9848239453080575,COMPLETE,2025-03-29 06:34:08.669180,2025-03-29 06:34:25.122329,16.453149
71,tvae,1,onesidedselection,0.125,0.9805080849157983,COMPLETE,2025-03-29 06:34:25.134743,2025-03-29 06:34:40.849460,15.714717
72,smote,0.25,random,auto,0.9891935575896289,COMPLETE,2025-03-29 06:34:40.862367,2025-03-29 06:34:55.575265,14.712898
73,gaussiancopula,0.5,instancehardness,0.25,0.9848435926094576,COMPLETE,2025-03-29 06:34:55.592371,2025-03-29 06:35:11.192341,15.59997
74,tvae,0.25,random,0.0625,0.987038663735101,COMPLETE,2025-03-29 06:35:11.204725,2025-03-29 06:35:26.364700,15.159975
75,tvae,0.25,editednn,0,0.9869457197202036,COMPLETE,2025-03-29 06:35:26.379521,2025-03-29 06:35:42.596801,16.21728
76,fastml,0.5,clustercentroid,0,0.9847832082520709,COMPLETE,2025-03-29 06:35:42.609325,2025-03-29 06:35:57.889550,15.280225
77,ctgan,1,random,auto,0.9891823765397848,COMPLETE,2025-03-29 06:35:57.911264,2025-03-29 06:36:14.881223,16.969959
78,gaussiancopula,2,clustercentroid,0.25,0.9870058877332495,COMPLETE,2025-03-29 06:36:14.896094,2025-03-29 06:36:37.908008,23.011914
79,gaussiancopula,auto,onesidedselection,0.25,0.9783653319196244,COMPLETE,2025-03-29 06:36:37.920919,2025-03-29 06:36:52.700146,14.779227
80,smote,0,editednn,0.5,0.9784313187068703,COMPLETE,2025-03-29 06:36:52.715564,2025-03-29 06:37:07.173668,14.458104
81,random,0.5,random,0.125,0.9891668172659909,COMPLETE,2025-03-29 06:37:07.189283,2025-03-29 06:37:23.849718,16.660435
82,fastml,auto,tomeklinks,0.5,0.9827175859688069,COMPLETE,2025-03-29 06:37:23.870875,2025-03-29 06:37:39.414717,15.543842
83,ctgan,0,clustercentroid,0.25,0.9891626891626891,COMPLETE,2025-03-29 06:37:39.431362,2025-03-29 06:38:00.880643,21.449281
84,random,2,editednn,0.125,0.9849285252035781,COMPLETE,2025-03-29 06:38:00.896185,2025-03-29 06:38:17.681763,16.785578
85,random,auto,random,0.0625,0.9891668172659909,COMPLETE,2025-03-29 06:38:17.698444,2025-03-29 06:38:34.343413,16.644969
86,copulagan,1,condensednn,0.125,0.5906562194317295,COMPLETE,2025-03-29 06:38:34.365912,2025-03-29 06:38:48.075985,13.710073
87,smote,auto,clustercentroid,0,0.991343141164981,COMPLETE,2025-03-29 06:38:48.088603,2025-03-29 06:39:04.746528,16.657925
88,smote,auto,onesidedselection,0.25,0.9804990292603718,COMPLETE,2025-03-29 06:39:04.759290,2025-03-29 06:39:17.659567,12.900277
89,ctgan,0.25,clustercentroid,0.5,0.9782569445361456,COMPLETE,2025-03-29 06:39:17.671277,2025-03-29 06:39:40.781813,23.110536
90,smote,2,condensednn,0.5,0.613993656688675,COMPLETE,2025-03-29 06:39:40.794902,2025-03-29 06:39:52.164302,11.3694
91,random,1,condensednn,auto,0.6002264619994727,COMPLETE,2025-03-29 06:39:52.176014,2025-03-29 06:40:04.399377,12.223363
92,copulagan,0.25,clustercentroid,0.25,0.9739098244963075,COMPLETE,2025-03-29 06:40:04.415174,2025-03-29 06:40:28.296172,23.880998
93,copulagan,auto,tomeklinks,0.0625,0.9826197196288691,COMPLETE,2025-03-29 06:40:28.310604,2025-03-29 06:40:47.501147,19.190543
