trial_id,oversampling_method,oversampling_threshold,undersampling_method,undersampling_threshold,value,state,start_time,complete_time,total_time
1,smote,0.25,instancehardness,0.0625,-1.0,COMPLETE,2025-03-29 21:42:35.531154,2025-03-29 21:42:36.550394,1.01924
2,adasyn,1,onesidedselection,0.5,-1.0,COMPLETE,2025-03-29 21:42:36.566105,2025-03-29 21:42:36.765701,0.199596
3,tvae,2,editednn,0.0625,-1.0,COMPLETE,2025-03-29 21:42:36.790239,2025-03-29 21:42:38.719034,1.928795
4,gaussiancopula,2,clustercentroid,0.5,-1.0,COMPLETE,2025-03-29 21:42:38.730912,2025-03-29 21:44:11.551219,92.820307
5,random,0.25,nearmiss,0.25,-1.0,COMPLETE,2025-03-29 21:44:11.564596,2025-03-29 21:44:11.672882,0.108286
6,fastml,2,tomeklinks,auto,0.6082557053829285,COMPLETE,2025-03-29 21:44:11.689935,2025-03-29 21:50:27.626792,375.936857
7,smote,0,condensednn,0.0625,-1.0,COMPLETE,2025-03-29 21:50:27.639733,2025-03-29 21:50:28.151464,0.511731
8,ctgan,0,instancehardness,0,-1.0,ERROR,,,0.0
9,adasyn,0.5,nearmiss,0.25,-1.0,COMPLETE,2025-03-29 21:50:30.120403,2025-03-29 21:50:30.171953,0.05155
10,gaussiancopula,2,onesidedselection,0.25,-1.0,COMPLETE,2025-03-29 21:50:30.184427,2025-03-29 21:51:46.836501,76.652074
11,fastml,auto,nearmiss,auto,-1.0,COMPLETE,2025-03-29 21:51:46.858647,2025-03-29 21:53:03.414172,76.555525
12,random,0,random,0.125,0.575406286923115,COMPLETE,2025-03-29 21:53:03.427252,2025-03-29 21:58:04.248362,300.82111
13,tvae,0,clustercentroid,0,-1.0,ERROR,,,0.0
14,tvae,0.5,clustercentroid,0,-1.0,COMPLETE,2025-03-29 21:58:06.258694,2025-03-29 21:58:08.191828,1.933134
15,adasyn,0.25,instancehardness,0.5,-1.0,COMPLETE,2025-03-29 21:58:08.214676,2025-03-29 21:58:09.628688,1.414012
16,ctgan,0.25,clustercentroid,0.125,-1.0,COMPLETE,2025-03-29 21:58:09.652699,2025-03-29 21:58:11.600708,1.948009
17,adasyn,0.25,tomeklinks,0.25,0.5846166040487628,COMPLETE,2025-03-29 21:58:11.613859,2025-03-29 22:03:12.774554,301.160695
18,copulagan,2,nearmiss,0,-1.0,COMPLETE,2025-03-29 22:03:12.797108,2025-03-29 22:03:27.366128,14.56902
19,adasyn,auto,onesidedselection,0.5,-1.0,COMPLETE,2025-03-29 22:03:27.389533,2025-03-29 22:03:27.442486,0.052953
20,random,0.5,clustercentroid,0.25,-1.0,COMPLETE,2025-03-29 22:03:27.455074,2025-03-29 22:03:28.911483,1.456409
21,ctgan,2,random,0.0625,-1.0,COMPLETE,2025-03-29 22:03:28.933072,2025-03-29 22:03:30.868734,1.935662
22,adasyn,2,onesidedselection,0.125,-1.0,COMPLETE,2025-03-29 22:03:30.880818,2025-03-29 22:03:30.931685,0.050867
23,copulagan,auto,instancehardness,0,-1.0,COMPLETE,2025-03-29 22:03:30.943819,2025-03-29 22:03:46.320843,15.377024
24,smote,0.5,instancehardness,0.0625,-1.0,COMPLETE,2025-03-29 22:03:46.333485,2025-03-29 22:03:46.381203,0.047718
25,random,1,editednn,0.5,-1.0,COMPLETE,2025-03-29 22:03:46.393814,2025-03-29 22:03:46.905468,0.511654
26,fastml,0.25,nearmiss,0,0.5609482745439811,COMPLETE,2025-03-29 22:03:46.918630,2025-03-29 22:08:47.769551,300.850921
27,fastml,1,onesidedselection,0.5,-1.0,COMPLETE,2025-03-29 22:08:47.792428,2025-03-29 22:10:02.954987,75.162559
28,random,0.5,editednn,0.5,0.5237897222650033,COMPLETE,2025-03-29 22:10:02.968761,2025-03-29 22:14:17.811700,254.842939
29,random,0,onesidedselection,0,-1.0,ERROR,,,0.0
30,copulagan,auto,nearmiss,0.125,-1.0,COMPLETE,2025-03-29 22:19:18.677281,2025-03-29 22:19:33.374170,14.696889
31,adasyn,2,clustercentroid,0.125,-1.0,COMPLETE,2025-03-29 22:19:33.396795,2025-03-29 22:19:33.450023,0.053228
32,ctgan,0.25,instancehardness,0.125,-1.0,COMPLETE,2025-03-29 22:19:33.462377,2025-03-29 22:19:35.388782,1.926405
33,tvae,1,onesidedselection,0,-1.0,COMPLETE,2025-03-29 22:19:35.402333,2025-03-29 22:19:37.395848,1.993515
34,smote,1,tomeklinks,auto,-1.0,COMPLETE,2025-03-29 22:19:37.408163,2025-03-29 22:19:37.455332,0.047169
35,fastml,0.5,condensednn,0.25,-1.0,COMPLETE,2025-03-29 22:19:37.467036,2025-03-29 22:20:01.949703,24.482667
36,ctgan,0,clustercentroid,0,-1.0,ERROR,,,0.0
37,adasyn,auto,nearmiss,0,-1.0,COMPLETE,2025-03-29 22:20:04.044269,2025-03-29 22:20:04.097375,0.053106
38,copulagan,0.5,condensednn,0,-1.0,COMPLETE,2025-03-29 22:20:04.109274,2025-03-29 22:20:19.510393,15.401119
39,ctgan,0.25,nearmiss,0.5,-1.0,COMPLETE,2025-03-29 22:20:19.536502,2025-03-29 22:20:21.511616,1.975114
40,random,2,clustercentroid,0,0.5480294443358739,COMPLETE,2025-03-29 22:20:21.534434,2025-03-29 22:25:22.404128,300.869694
41,ctgan,0,nearmiss,auto,-1.0,COMPLETE,2025-03-29 22:25:22.418823,2025-03-29 22:25:24.367643,1.94882
42,smote,2,instancehardness,auto,-1.0,COMPLETE,2025-03-29 22:25:24.381283,2025-03-29 22:25:24.440413,0.05913
43,ctgan,0.25,editednn,0.0625,-1.0,COMPLETE,2025-03-29 22:25:24.453474,2025-03-29 22:25:26.386962,1.933488
44,adasyn,0.5,onesidedselection,auto,-1.0,COMPLETE,2025-03-29 22:25:26.414413,2025-03-29 22:25:26.545532,0.131119
45,copulagan,0.25,instancehardness,0.25,-1.0,COMPLETE,2025-03-29 22:25:26.573105,2025-03-29 22:25:41.258665,14.68556
46,adasyn,0.25,editednn,0.25,0.4908200734394125,COMPLETE,2025-03-29 22:25:41.270398,2025-03-29 22:30:31.532402,290.262004
47,fastml,auto,condensednn,0,0.598686639078316,COMPLETE,2025-03-29 22:30:31.554094,2025-03-29 22:36:44.949054,373.39496
48,smote,2,clustercentroid,0.0625,-1.0,COMPLETE,2025-03-29 22:36:44.970287,2025-03-29 22:36:45.017057,0.04677
49,tvae,1,nearmiss,0,-1.0,COMPLETE,2025-03-29 22:36:45.028971,2025-03-29 22:36:47.024189,1.995218
50,random,0.5,tomeklinks,0.5,0.6244902088976059,COMPLETE,2025-03-29 22:36:47.046468,2025-03-29 22:41:47.990777,300.944309
51,copulagan,2,clustercentroid,0.125,-1.0,COMPLETE,2025-03-29 22:41:48.013006,2025-03-29 22:42:02.585779,14.572773
